code,market,issue,issue_short,industry,unit,info,topix100,tracking
3176-T,東証1部,三洋貿易,三洋貿易,卸売業,100,貸借銘柄,,
3178-T,東証1部,チムニー,チムニー,小売業,100,制度信用銘柄,,
3183-T,東証1部,ウイン・パートナーズ,ウイン・パートナーズ,卸売業,100,貸借銘柄,,
3186-T,東証1部,ネクステージ,ネクステージ,小売業,100,制度信用銘柄,,
3191-T,東証1部,ジョイフル本田,ジョイフル本田,小売業,100,貸借銘柄,,
3194-T,東証1部,キリン堂ホールディングス,キリン堂ＨＤ,小売業,100,制度信用銘柄,,
3197-T,東証1部,すかいらーく,すかいらーく,小売業,100,制度信用銘柄,,
3201-T,東証1部,日本毛織,ニッケ,繊維製品,1000,貸借銘柄,,
3202-T,東証1部,大東紡織,大東紡,繊維製品,1000,制度信用銘柄,,
3204-T,東証1部,トーア紡コーポレーション,トーア紡,繊維製品,1000,貸借銘柄,,
3205-T,東証1部,ダイドーリミテッド,ダイド—,繊維製品,100,貸借銘柄,,
3222-T,東証1部,ユナイテッド・スーパーマーケット・ホールディングス,Ｕ．Ｓ．Ｍ．Ｈ,小売業,100,貸借銘柄,,
3228-T,東証1部,三栄建築設計,東建不販,不動産業,100,貸借銘柄,,
3231-T,東証1部,野村不動産ホールディングス,三栄建築,不動産業,100,制度信用銘柄,,
3232-T,東証1部,三重交通グループホールディングス,野村不ＨＤ,不動産業,100,貸借銘柄,,
3252-T,東証1部,日本商業開発,三重交通ＧＨＤ,不動産業,100,貸借銘柄,,
3254-T,東証1部,プレサンスコーポレーション,日本商業開発,不動産業,100,貸借銘柄,,
3258-T,東証1部,常和ホールディングス,プレサンス,不動産業,100,制度信用銘柄,,
3276-T,東証1部,日本管理センター,常和ＨＤ,不動産業,100,貸借銘柄,,
3277-T,東証1部,サンセイランディック,日本管理,不動産業,100,貸借銘柄,,
3280-T,東証1部,エストラスト,サンセイランディック,不動産業,100,制度信用銘柄,,
3284-T,東証1部,フージャースホールディングス,エストラスト,不動産業,100,制度信用銘柄,,
3288-T,東証1部,オープンハウス,フージャース,不動産業,100,貸借銘柄,,
3289-T,東証1部,東急不動産ホールディングス,オープンハウス,不動産業,100,貸借銘柄,,
3291-T,東証1部,飯田グループホールディングス,東急不ＨＤ,不動産業,100,貸借銘柄,,
3302-T,東証1部,帝国繊維,飯田ＧＨＤ,繊維製品,100,貸借銘柄,,
3313-T,東証1部,ブックオフコーポレーション,帝繊維,小売業,100,制度信用銘柄,,
3315-T,東証1部,日本コークス工業,ブックオフ,石油石炭製品,100,貸借銘柄,,
3321-T,東証1部,ミタチ産業,日本コークス,卸売業,100,制度信用銘柄,,
3333-T,東証1部,あさひ,ミタチ,小売業,100,貸借銘柄,,
3341-T,東証1部,日本調剤,あさひ,小売業,100,制度信用銘柄,,
3349-T,東証1部,コスモス薬品,日本調剤,小売業,100,制度信用銘柄,,
3360-T,東証1部,シップヘルスケアホールディングス,コスモス薬品,卸売業,100,貸借銘柄,,
3361-T,東証1部,トーエル,シップＨＤ,小売業,100,貸借銘柄,,
3366-T,東証1部,一六堂,トーエル,小売業,100,制度信用銘柄,,
3371-T,東証1部,ソフトクリエイトホールディングス,一六堂,情報・通信業,100,制度信用銘柄,,
3382-T,東証1部,セブン&アイ・ホールディングス,ソフトクリエＨＤ,小売業,100,貸借銘柄/TOPIX100,1,
3385-T,東証1部,薬王堂,７＆ｉＨＤ,小売業,100,貸借銘柄,,
3387-T,東証1部,クリエイト・レストランツ・ホールディングス,薬王堂,小売業,100,制度信用銘柄,,
3388-T,東証1部,明治電機工業,クリレスＨＤ,卸売業,100,貸借銘柄,,
3391-T,東証1部,ツルハホールディングス,明治電機,小売業,100,制度信用銘柄,,
3392-T,東証1部,デリカフーズ,ツルハＨＤ,卸売業,100,貸借銘柄,,
3393-T,東証1部,スターティア,デリカフーズ,卸売業,100,制度信用銘柄,,
3395-T,東証1部,サンマルクホールディングス,スターティア,小売業,100,貸借銘柄,,
3396-T,東証1部,フェリシモ,サンマルクＨＤ,小売業,100,貸借銘柄,,
3397-T,東証1部,トリドール,フェリシモ,小売業,100,制度信用銘柄,,
3398-T,東証1部,クスリのアオキ,トリドール,小売業,100,貸借銘柄,,
3401-T,東証1部,帝人,クスリのアオキ,繊維製品,100,貸借銘柄,,
3402-T,東証1部,東レ,帝人,繊維製品,1000,貸借銘柄/TOPIX100,1,
3405-T,東証1部,クラレ,東レ,化学,1000,貸借銘柄,,
3407-T,東証1部,旭化成,クラレ,化学,100,貸借銘柄/TOPIX100,1,
3408-T,東証1部,サカイオーベックス,旭化成,繊維製品,1000,貸借銘柄,,
3421-T,東証1部,稲葉製作所,サカイオーベ,金属製品,1000,貸借銘柄,,
3431-T,東証1部,宮地エンジニアリンググループ,稲葉製作,金属製品,100,制度信用銘柄,,
3433-T,東証1部,トーカロ,宮地エンジ,金属製品,1000,貸借銘柄,,
3434-T,東証1部,アルファCo,トーカロ,金属製品,100,制度信用銘柄,,
3436-T,東証1部,SUMCO,アルファＣｏ,金属製品,100,制度信用銘柄,,
3443-T,東証1部,川田テクノロジーズ,ＳＵＭＣＯ,金属製品,100,貸借銘柄,,
3501-T,東証1部,住江織物,川田ＴＥＣＨ,繊維製品,100,貸借銘柄,,
3512-T,東証1部,日本フエルト,住江織物,繊維製品,1000,貸借銘柄,,
3513-T,東証1部,イチカワ,日フエルト,繊維製品,100,制度信用銘柄,,
3514-T,東証1部,日本バイリーン,イチカワ,繊維製品,1000,制度信用銘柄,,
3521-T,東証1部,エコナックホールディングス,日バイリーン,不動産業,1000,貸借銘柄,,
3524-T,東証1部,日東製網,エコナックＨＤ,繊維製品,1000,貸借銘柄,,
3526-T,東証1部,芦森工業,日東網,繊維製品,1000,制度信用銘柄,,
3529-T,東証1部,アツギ,芦森工,繊維製品,1000,貸借銘柄,,
3551-T,東証1部,ダイニック,アツギ,繊維製品,1000,貸借銘柄,,
3553-T,東証1部,共和レザー,ダイニック,化学,1000,制度信用銘柄,,
3569-T,東証1部,セーレン,共和レザー,繊維製品,100,貸借銘柄,,
3577-T,東証1部,東海染工,セーレン,繊維製品,100,貸借銘柄,,
3580-T,東証1部,小松精練,東海染工,繊維製品,1000,制度信用銘柄,,
3591-T,東証1部,ワコールホールディングス,小松精練,繊維製品,100,貸借銘柄,,
3593-T,東証1部,ホギメディカル,ワコールＨＤ,繊維製品,1000,貸借銘柄,,
3606-T,東証1部,レナウン,ホギメディ,繊維製品,100,貸借銘柄,,
3607-T,東証1部,クラウディア,レナウン,繊維製品,100,貸借銘柄,,
3608-T,東証1部,TSIホールディングス,クラウディア,繊維製品,100,制度信用銘柄,,
